idx,persona_text,source_config,age,is_excluded,llm_label,llm_confidence,llm_reason,edu_group
96030,A curious middle schooler who thrives in interactive history lessons with digital resources,persona,12.0,False,yes,100,Explicitly described as a middle schooler,secondary
41399,"a middle school student who loves music, movies, and television shows.",persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
18769,A keen middle school student working on a project about famous architects in history,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
23313,A middle school student seeking guidance on how to improve their computer skills for school assignments,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
122372,A curious middle school student who loves playing strategy games based on ancient civilizations,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
111451,A middle school student who looks up to the high school student's achievements in STEM competitions,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
191922,A fellow middle school dancer who also wears braces and shares tips and advice on how to maintain oral hygiene and confidence,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
20456,"A middle schooler struggling with attention and behavior issues, benefiting from personalized interventions",persona,12.0,False,yes,100,Explicitly described as a middle schooler,secondary
195641,A middle school student excited about earth sciences and participating in the school's science fair with a volcano project,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
29945,A middle school band member interested in learning a variety of percussion instruments,persona,12.0,False,yes,100,Explicitly mentioned as a middle school band member,secondary
66161,A student council president who feels environmental efforts detract from other school priorities,persona,17.0,False,yes,90,Student council president is a common role in secondary schools,secondary
173385,A student at Mountain Logan Middle School (MLMS),persona,12.0,False,yes,100,Explicitly mentioned as a middle school student,secondary
74499,A shy and quiet middle school student who is always grateful for the bus driver's kind gestures,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
3310,A middle school student who loves playing mobile games after school and interacts actively with their favorite YouTubers,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
192817,A creative writing enthusiast in middle school who enjoys crafting stories and sometimes struggles with math homework,persona,12.0,False,yes,100,Explicitly mentioned as being in middle school,secondary
90818,A middle school student currently working on a science fair project about the water cycle,persona,12.0,False,yes,100,Explicitly described as a middle school student,secondary
