original_index,age_refined,persona_text,model_name,subject,relation,object,regime
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,young knight,rides through,forest,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,armor,is_damage_to,knight,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,beautiful,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,rode_through,forest,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,armor,became,scorched,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,thankful,knight,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,was_thankful_to,knight,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,armor,is_destroyed_by,fire,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,married,knight,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,fights_for,death,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,thankful,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is thanked by,princess,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,rescues,princess,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,marries,princess,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_unfamiliar_with,country,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,wears,armor,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,dragon,appears_in,forest,secondary
0,12,a middle school student from Uganda,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is,thankful,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,marries,knight,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,princess,is_thankful_to,knight,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,kills,dragon,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_thanked_by,princess,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,legend,includes,dragon,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,wears,scorched armor,secondary
1,12,a rebellious middle school student who is uninterested in learning about extinct creatures,Qwen/Qwen3-30B-A3B-Instruct-2507,knight,is_married_to,princess,secondary
