word/sentence 1 2 3 4 5 6 7 8 9 10 11 12 13
knight 5 5 2.5 0 5 5 5 4 4 5 4 5 5 
rode 5 3 1.5 0 0 0 0 0 0 0 0 0 0
horse 2 1 0 0 0 0 0 0 0 0 0 0 0
forest 5 4 2 0 0 0 0 0 0 0 0 0 0
unfamiliar 0 5 3 1.5 0 0 0 0 0 0 0 0 0
country 0 5 3 1.5 0 0 0 0 0 0 0 0 0
dragon 0 0 5 5 3 1.5 5 4 3 5 2.5 0 0
appeared 0 0 5 3 1.5 0 0 0 0 0 0 0 0
kidnapping 0 0 0 5 3 1.5 0 0 0 0 0 0 0
beautiful 0 0 0 5 2.5 3 1.5 0 0 0 0 0 0
princess 0 0 0 5 4 4 2 0 0 0 5 5 4
fought 0 0 0 0 0 0 0 5 3 3 1.5 0 0
armor 0 0 0 0 0 0 0 0 5 2.5 0 0 0 
scorched 0 0 0 0 0 0 0 0 5 2.5 0 0 0 
killed 0 0 0 0 0 0 0 0 5 3 1.5 0 0
sword 0 0 0 0 0 0 0 0 0 2 1 0 0 
freed 0 0 0 0 0 0 0 0 0 0 5 3 1.5
thankful 0 0 0 0 0 0 0 0 0 0 0 5 3 
married 0 0 0 0 0 0 0 0 0 0 0 0 5 
fire 0 0 0 0 0 0 0 0 3 1.5 0 0 0  
