,1,2,3,4,5,6,7,8,9,10,11,12,13
story_text,"A young knight rode through the forest. The knight was unfamiliar with the country. Suddenly, a dragon appeared. The dragon was kidnapping a beautiful princess. The knight wanted to free the princess. The knight wanted to marry the princess. The knight hurried after the dragon. The knight and the dragon fought for life and death. Soon, the knight's armor was completely scorched. At last, the knight killed the dragon. The knight freed the princess. The princess was very thankful to the knight. The princess married the knight.",,,,,,,,,,,,
dragon,0.0,0.0,5.0,4.5,3.0,1.5,3.0,2.5,1.0,1.5,0.0,0.0,0.0
knight,5.0,4.5,1.0,0.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0,0.0,0.0
country,0.0,5.0,3.5,3.0,2.5,2.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0
princess,0.0,0.0,0.0,5.0,4.5,4.0,2.5,0.0,0.0,0.0,1.5,1.0,0.5
death,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.5,3.0,2.5,2.0,1.5
forest,5.0,1.5,1.0,2.5,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
life,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.5,3.0,0.5,0.0,0.0
unfamiliar,0.0,5.0,3.5,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5,1.0,0.5,0.0
beautiful,0.0,0.0,0.0,5.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
scorch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5,1.0,0.5,0.0
young,5.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thankful,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5
lives in,0.0,0.0,0.0,4.5,4.0,3.5,2.0,2.0,0.0,0.0,0.0,0.5,0.0
explores,0.0,4.5,2.5,0.0,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appears in,0.0,0.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fought for,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0
causes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.5,0.0,0.0,0.0
contrasts with,0.0,4.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
called,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
follows,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kidnap,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rides,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
travels through,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0
kingdom,0.0,0.0,0.0,0.0,0.0,4.0,2.5,1.0,2.5,1.0,1.5,1.0,0.0
skilled,4.0,3.5,2.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weapon,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5,3.0,1.5,2.0,0.0,0.0
village,0.0,4.0,2.5,1.0,2.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
legend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.5,2.0,2.5
map,0.0,4.0,1.5,3.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
victorious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.5,2.0,2.5
battlefield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5,3.0,1.5,0.0,0.0
uses,0.0,4.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.0,1.5,0.0,0.0
