sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,0.0,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.8,0.91,0.00011579069005564037,significant
5,0.55,0.69,0.02265452667660919,significant
6,0.77,0.74,0.0003226216371623459,significant
7,0.89,0.68,1.367180039642927e-06,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.39,0.68,0.1242164544093605,not significant
12,0.67,0.79,0.0034269987369243715,significant
13,0.78,0.79,0.000231074997600353,significant
