sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,0.0,significant
3,0.84,0.66,2.4914239735213972e-05,significant
4,0.93,0.91,9.377695478383743e-08,significant
5,0.84,0.69,2.255283027727038e-05,significant
6,0.69,0.74,0.0022152409923137328,significant
7,0.75,0.68,0.0005660271401335403,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.5,0.93,0.04025737903430667,significant
10,0.66,0.76,0.0037332527883029913,significant
11,0.38,0.68,0.1312751733577876,not significant
12,0.55,0.79,0.021244086065497155,significant
13,0.65,0.79,0.0045215775496802255,significant
