sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,0.0,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.93,0.91,9.377695478383743e-08,significant
5,0.67,0.69,0.0033959093420296124,significant
6,0.82,0.74,4.5933879315310745e-05,significant
7,0.55,0.68,0.021949141637135995,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.3,0.68,0.24849205339882707,not significant
12,0.56,0.79,0.020047782777913026,significant
13,0.65,0.79,0.004525894891274553,significant
