sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,2.570273482655349e-17,significant
3,0.88,0.66,3.2437048518934303e-06,significant
4,0.96,0.91,1.6648838182514492e-09,significant
5,0.55,0.69,0.020932510853087602,significant
6,0.59,0.74,0.012367241507494502,significant
7,0.71,0.68,0.0014900628057350736,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.93,0.76,5.782448821257344e-08,significant
11,0.44,0.68,0.07641053579264186,not significant
12,0.49,0.79,0.044174854476301276,significant
13,0.75,0.79,0.0004726746448465195,significant
