sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,2.570273482655349e-17,significant
3,0.88,0.66,3.2437048518934303e-06,significant
4,0.8,0.91,0.00011579069005564037,significant
5,0.71,0.69,0.0014035332770974465,significant
6,0.43,0.74,0.08459829200193712,not significant
7,0.75,0.68,0.0005660271401335403,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.87,0.76,6.663817372458756e-06,significant
11,0.36,0.68,0.15275031668868944,not significant
12,0.56,0.79,0.020047782777913026,significant
13,0.89,0.79,1.601156777657047e-06,significant
