sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.92,0.98,1.3197135741980714e-07,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.96,0.91,1.6648838182514492e-09,significant
5,0.62,0.69,0.007709306725557645,significant
6,0.86,0.74,9.631364306371689e-06,significant
7,0.49,0.68,0.044780992405164706,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.26,0.68,0.3067083951611773,not significant
12,0.67,0.79,0.0033757410108480237,significant
13,0.78,0.79,0.000231074997600353,significant
