sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.92,0.98,1.3197135741980714e-07,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.81,0.91,9.613657499365072e-05,significant
5,0.71,0.69,0.0013081707431333105,significant
6,0.77,0.74,0.00027108433405912725,significant
7,0.55,0.68,0.021949141637135995,significant
8,0.52,0.69,0.03173168255612045,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.32,0.68,0.2034072933053892,not significant
12,0.73,0.79,0.000946688445323554,significant
13,0.89,0.79,1.750002890060667e-06,significant
