sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.91,0.98,3.397888229822055e-07,significant
3,0.9,0.66,7.978919054188479e-07,significant
4,0.83,0.91,3.834390937895603e-05,significant
5,0.67,0.69,0.003234018968731169,significant
6,0.86,0.74,9.631364306371689e-06,significant
7,0.75,0.68,0.0005660271401335403,significant
8,0.52,0.69,0.03173168255612045,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.93,0.76,5.782448821257344e-08,significant
11,0.36,0.68,0.15275031668868944,not significant
12,0.67,0.79,0.0033757410108480237,significant
13,0.65,0.79,0.0045215775496802255,significant
