sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.89,0.98,1.3122443770585468e-06,significant
3,0.72,0.66,0.0012466228348282122,significant
4,0.9,0.91,6.308942131611207e-07,significant
5,0.38,0.69,0.13641503506983244,not significant
6,0.39,0.74,0.12142758650216816,not significant
7,0.6,0.68,0.011640542909402382,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.32,0.68,0.21501759216984118,not significant
12,0.55,0.79,0.021244086065497155,significant
13,0.65,0.79,0.0045215775496802255,significant
