sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.92,0.98,1.3197135741980714e-07,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.9,0.91,1.133814292031631e-06,significant
5,0.64,0.69,0.005402203394942023,significant
6,0.63,0.74,0.006196156142564319,significant
7,0.75,0.68,0.0005660271401335403,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.66,0.76,0.0037332527883029913,significant
11,0.47,0.68,0.0564155541697027,not significant
12,0.63,0.79,0.006446271652993712,significant
13,1.0,0.79,9.550480218078966e-18,significant
