sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.92,0.98,1.3197135741980714e-07,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.94,0.91,1.616144446107891e-08,significant
5,0.55,0.69,0.021541443615004083,significant
6,0.53,0.74,0.02766968140392471,significant
7,0.75,0.68,0.0004990001475421811,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.93,0.76,5.782448821257344e-08,significant
11,0.29,0.68,0.26022870540857135,not significant
12,0.66,0.79,0.004079045495837279,significant
13,0.7,0.79,0.0015774667419016133,significant
