sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.91,0.98,3.397888229822055e-07,significant
3,0.7,0.66,0.0019241260937569139,significant
4,1.0,0.91,6.851739173174065e-19,significant
5,0.67,0.69,0.003234018968731169,significant
6,0.62,0.74,0.007694149490868401,significant
7,0.75,0.68,0.0004990001475421811,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.59,0.76,0.012464469488277974,significant
11,0.46,0.68,0.062304314757134646,not significant
12,0.57,0.79,0.01719431388579727,significant
13,0.89,0.79,1.601156777657047e-06,significant
