sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.91,0.98,3.397888229822055e-07,significant
3,0.73,0.66,0.0007913369667410888,significant
4,0.83,0.91,3.834390937895603e-05,significant
5,0.31,0.69,0.22010993007061364,not significant
6,0.63,0.74,0.006652086139250644,significant
7,0.75,0.68,0.0004990001475421811,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.47,0.68,0.0564155541697027,not significant
12,0.73,0.79,0.000946688445323554,significant
13,0.81,0.79,7.123563668811617e-05,significant
