sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.82,0.98,4.798986466422315e-05,significant
3,0.9,0.66,7.496031604328037e-07,significant
4,0.96,0.91,1.6648838182514492e-09,significant
5,0.49,0.69,0.048300220776280725,significant
6,0.39,0.74,0.12142758650216816,not significant
7,0.75,0.68,0.0004990001475421811,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.55,0.76,0.021159247583722306,significant
11,0.47,0.68,0.05523063080891903,not significant
12,0.66,0.79,0.004079045495837279,significant
13,0.65,0.79,0.004525894891274553,significant
