sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.65,0.98,0.004544005020239277,significant
3,0.9,0.66,7.978919054188479e-07,significant
4,0.9,0.91,1.133814292031631e-06,significant
5,0.42,0.69,0.09189650300526248,not significant
6,0.77,0.74,0.0003226216371623459,significant
7,0.71,0.68,0.0014900628057350736,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.87,0.76,6.663817372458756e-06,significant
11,0.36,0.68,0.15275031668868944,not significant
12,0.52,0.79,0.03103855960249718,significant
13,0.91,0.79,5.414458344901202e-07,significant
