sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.82,0.98,4.798986466422315e-05,significant
3,0.79,0.66,0.00014643599790460898,significant
4,0.66,0.91,0.0037019811885742656,significant
5,0.39,0.69,0.119058188136921,not significant
6,0.91,0.74,4.3803101616993905e-07,significant
7,0.89,0.68,1.367180039642927e-06,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.87,0.76,6.663817372458756e-06,significant
11,0.45,0.68,0.07006048594843581,not significant
12,0.49,0.79,0.04423634694883675,significant
13,0.7,0.79,0.0015774667419016133,significant
