sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.84,0.98,2.2383504726042206e-05,significant
3,0.9,0.66,7.978919054188479e-07,significant
4,0.96,0.91,1.6648838182514492e-09,significant
5,0.49,0.69,0.04785429689423273,significant
6,0.69,0.74,0.001985907587753897,significant
7,0.75,0.68,0.0004990001475421811,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.17,0.68,0.5179855205463555,not significant
12,0.66,0.79,0.004079045495837279,significant
13,0.7,0.79,0.0015774667419016133,significant
