sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.82,0.98,4.798986466422315e-05,significant
3,0.9,0.66,7.496031604328037e-07,significant
4,0.9,0.91,1.133814292031631e-06,significant
5,0.42,0.69,0.09189650300526248,not significant
6,0.77,0.74,0.0003226216371623459,significant
7,0.71,0.68,0.0014900628057350736,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.93,0.76,5.782448821257344e-08,significant
11,0.51,0.68,0.03633213946607267,significant
12,0.66,0.79,0.004079045495837279,significant
13,0.84,0.79,2.167407838835625e-05,significant
