sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.84,0.98,2.2383504726042206e-05,significant
3,0.9,0.66,7.978919054188479e-07,significant
4,0.96,0.91,1.6648838182514492e-09,significant
5,0.42,0.69,0.09220028422096749,not significant
6,0.53,0.74,0.02766968140392471,significant
7,0.75,0.68,0.0004990001475421811,significant
8,0.8,0.69,0.00013263632162597278,significant
9,0.5,0.93,0.04025737903430667,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.53,0.68,0.027682356586177823,significant
12,0.6,0.79,0.010838344799373631,significant
13,0.7,0.79,0.0015774667419016133,significant
