sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.89,0.98,1.3122443770585468e-06,significant
3,0.94,0.66,2.8949683284215135e-08,significant
4,0.93,0.91,4.5714693536416775e-08,significant
5,0.39,0.69,0.119058188136921,not significant
6,0.91,0.74,4.3803101616993905e-07,significant
7,0.89,0.68,1.367180039642927e-06,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.87,0.76,6.663817372458756e-06,significant
11,0.36,0.68,0.15275031668868944,not significant
12,0.68,0.79,0.0026828007054628725,significant
13,0.78,0.79,0.000231074997600353,significant
