sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.82,0.98,4.798986466422315e-05,significant
3,0.9,0.66,7.496031604328037e-07,significant
4,0.8,0.91,0.0001357590043588814,significant
5,0.26,0.69,0.31809633466577525,not significant
6,0.53,0.74,0.029724042043941256,significant
7,0.55,0.68,0.021949141637135995,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.93,0.76,5.782448821257344e-08,significant
11,0.29,0.68,0.2611039347550703,not significant
12,0.51,0.79,0.03834434047440709,significant
13,0.91,0.79,5.414458344901202e-07,significant
