sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.74,0.98,0.0007536445737494844,significant
3,0.9,0.66,7.978919054188479e-07,significant
4,0.96,0.91,1.6648838182514492e-09,significant
5,0.62,0.69,0.007709306725557645,significant
6,0.99,0.74,4.410494932286769e-15,significant
7,0.75,0.68,0.0005660271401335403,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.93,0.76,5.782448821257344e-08,significant
11,0.45,0.68,0.07006048594843581,not significant
12,0.56,0.79,0.020047782777913026,significant
13,0.7,0.79,0.0015774667419016133,significant
