sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,2.570273482655349e-17,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.81,0.91,9.613657499365072e-05,significant
5,0.62,0.69,0.007709306725557645,significant
6,0.49,0.74,0.04637905425404524,significant
7,0.55,0.68,0.021949141637135995,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.75,0.76,0.0005228771517626597,significant
11,0.32,0.68,0.2034072933053892,not significant
12,0.63,0.79,0.006446271652993712,significant
13,0.78,0.79,0.000231074997600353,significant
