sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,0.0,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.96,0.91,1.6648838182514492e-09,significant
5,0.57,0.69,0.017497619934485658,significant
6,0.82,0.74,4.5933879315310745e-05,significant
7,0.75,0.68,0.0004990001475421811,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.66,0.76,0.0037332527883029913,significant
11,0.26,0.68,0.3067083951611773,not significant
12,0.73,0.79,0.000946688445323554,significant
13,0.89,0.79,1.750002890060667e-06,significant
