sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,2.570273482655349e-17,significant
3,0.84,0.66,2.4914239735213972e-05,significant
4,0.97,0.91,2.8252124168461356e-10,significant
5,0.62,0.69,0.007709306725557645,significant
6,0.67,0.74,0.003034561705622022,significant
7,0.75,0.68,0.0004990001475421811,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.66,0.76,0.0037332527883029913,significant
11,0.38,0.68,0.1312751733577876,not significant
12,0.73,0.79,0.000946688445323554,significant
13,0.89,0.79,1.601156777657047e-06,significant
