sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,0.0,significant
3,0.96,0.66,2.205198305247039e-09,significant
4,0.93,0.91,9.377695478383743e-08,significant
5,0.53,0.69,0.028020723474811073,significant
6,0.74,0.74,0.0007031406382429531,significant
7,0.75,0.68,0.0005660271401335403,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.93,0.76,5.782448821257344e-08,significant
11,0.44,0.68,0.07641053579264186,not significant
12,0.6,0.79,0.010838344799373631,significant
13,0.78,0.79,0.000231074997600353,significant
