sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,0.0,significant
3,0.99,0.66,3.6250014876158097e-14,significant
4,0.8,0.91,0.00011579069005564037,significant
5,0.42,0.69,0.09189650300526248,not significant
6,0.43,0.74,0.08498202097214741,not significant
7,0.75,0.68,0.0005660271401335403,significant
8,0.61,0.69,0.008719870452196712,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.87,0.76,6.663817372458756e-06,significant
11,0.27,0.68,0.2954973100666366,not significant
12,0.55,0.79,0.023664451769091977,significant
13,0.78,0.79,0.000231074997600353,significant
