sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,0.92,0.98,1.3197135741980714e-07,significant
3,0.9,0.66,7.496031604328037e-07,significant
4,0.82,0.91,5.008606708392043e-05,significant
5,0.49,0.69,0.048300220776280725,significant
6,0.69,0.74,0.001985907587753897,significant
7,0.89,0.68,1.367180039642927e-06,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.93,0.76,5.782448821257344e-08,significant
11,0.44,0.68,0.07641053579264186,not significant
12,0.73,0.79,0.000946688445323554,significant
13,0.7,0.79,0.0015774667419016133,significant
