sentence,spearman_r,paper_r,p_value,significance
1,1.0,0.77,0.0,significant
2,1.0,0.98,2.570273482655349e-17,significant
3,0.88,0.66,3.2437048518934303e-06,significant
4,0.96,0.91,1.6648838182514492e-09,significant
5,0.49,0.69,0.048300220776280725,significant
6,0.69,0.74,0.001985907587753897,significant
7,0.89,0.68,1.367180039642927e-06,significant
8,0.63,0.69,0.00691411001211934,significant
9,0.66,0.93,0.0042601874988307245,significant
10,0.66,0.76,0.0037332527883029913,significant
11,0.46,0.68,0.062304314757134646,not significant
12,0.67,0.79,0.0033757410108480237,significant
13,0.89,0.79,1.601156777657047e-06,significant
