file,avg_spearman,n_sentences,regime_dir
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__16_years_old._A_curious_high_school_student_who_assists_16,0.7785,13,highschool
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__16_years_old._A_high_school_student_on_the_baseball_tea_16,0.7685,13,highschool
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__12_years_old._A_middle_school_student_who_turns_to_the__12,0.7654,13,secondary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__8_years_old._An_elementary_school_student_who_shares_th_8,0.7638,13,primary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__12_years_old._A_curious_and_enthusiastic_group_of_middl_12,0.7608,13,secondary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__9_years_old._A9-year-old_child_who_greatly_enjoys_the_s_9,0.7608,13,primary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__12_years_old._a_rebellious_middle_school_student_who_is_12,0.76,13,secondary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__16_years_old._A_high_school_student_who_is_passionate_a_16,0.7577,13,highschool
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__18_years_old._A_budding_film_music_composer_currently_s_18,0.7577,13,college
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__12_years_old._A_secondary_school_student_who_is_just_st_12,0.7554,13,secondary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__12_years_old._A_curious_middle_school_student_who_is_fa_12,0.7538,13,secondary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__12_years_old._A_middle_schooler_who_loves_exploring_the_12,0.7538,13,secondary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__16_years_old._A_high_school_student_fascinated_by_how_e_16,0.7485,13,highschool
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__8_years_old._An_elementary_school_student_who_looks_for_8,0.7485,13,primary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__16_years_old._A_high_school_senior_passionate_about_soc_16,0.7469,13,highschool
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__12_years_old._A_middle_school_student_seeking_guidance__12,0.7438,13,secondary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__18_years_old._a_first-year_female_undergraduate_who_is__18,0.7377,13,college
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__16_years_old._A_high_school_student_aiming_to_follow_in_16,0.7377,13,highschool
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__18_years_old._a_young_Japanese_university_student_study_18,0.7377,13,college
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__18_years_old._a_freshman_student_recently_accepted_to_t_18,0.7338,13,college
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__18_years_old._a_first-year_history_student_at_Oregon_St_18,0.7323,13,college
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__16_years_old._a_Kiwi_high_school_student_considering_lo_16,0.7323,13,highschool
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__18_years_old._A_freshman_student_who_is_excited_about_j_18,0.7277,13,college
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__16_years_old._a_high_school_student_from_El_Cerrito_Hig_16,0.7269,13,highschool
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__18_years_old._a_university_student_benefiting_from_the__18,0.7262,13,college
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__18_years_old._a_freshman_business_student_at_Oakland_Un_18,0.7262,13,college
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__18_years_old._A_college_freshman_interested_in_studying_18,0.7246,13,college
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__8_years_old._An_elementary_school_student_who_prefers_r_8,0.7138,13,primary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__8_years_old._A_curious_elementary_school_student_who_ea_8,0.7138,13,primary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__8_years_old._A_group_of_enthusiastic_elementary_school__8,0.7123,13,primary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__17_years_old._a_17-year-old_high_school_student_doing_a_17,0.7085,13,highschool
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__8_years_old._A_shy_elementary_school_student_struggling_8,0.7077,13,primary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__12_years_old._A_creative_middle_schooler_who_has_starte_12,0.7062,13,secondary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__8_years_old._A_primary_school_student_who_loves_learnin_8,0.7038,13,primary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__12_years_old._A_middle_school_student_working_on_a_scho_12,0.7023,13,secondary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__12_years_old._a_middle_school_student_from_Uganda_12,0.6962,13,secondary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__10_years_old._A_10-year-old_schoolboy_who_lives_in_Nige_10,0.6869,13,primary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__8_years_old._I_am_a_curious_elementary_school_student_w_8,0.6746,13,primary
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__16_years_old._A_high_school_student_determined_to_follo_16,0.6477,13,highschool
amoc_matrix_meta-llama_Llama-3.3-70B-Instruct_Age__18_years_old._university_freshman_interested_in_cross-d_18,0.6308,13,college
