source_file,persona_text,age,EC_z,EC_p,PC_z,PC_p,PE_z,PE_p
study_results/study_keefe/input_csv/keefe_scores_chunk_0.csv,A high school student who is just beginning to discover the complexity of post-modernist literature,16,5.301230771626295,1.1502458030498985e-07,4.543912089965396,5.521969439481467e-06,-0.7573186816608996,0.44885896122447644
study_results/study_keefe/input_csv/keefe_scores_chunk_0.csv,A 16-year-old high school student in New Zealand who is passionate about learning the Maori culture and has been assigned to write an essay about a significant figure within it.,16,6.113825636370128,9.727059158137763e-10,4.148667396108309,3.3441626816399506e-05,-1.9651582402618177,0.04939592557035266
study_results/study_keefe/input_csv/keefe_scores_chunk_0.csv,A high school student researching African American history for a school project,16,6.180957565486336,6.371394523085883e-10,5.408337869800541,6.361233562124369e-08,-0.7726196956857947,0.43974748472008995
study_results/study_keefe/input_csv/keefe_scores_chunk_0.csv,A high school student interested in pursuing a career in data science and seeking guidance on building a strong foundation in mathematics,16,5.783858089505131,7.300653637187793e-09,5.164159008486722,2.415223241403197e-07,-0.6196990810184081,0.5354559208217606
study_results/study_keefe/input_csv/keefe_scores_chunk_0.csv,a 17-year-old high school student doing a paper for a history class,17,6.388486387599852,1.6753576304040507e-10,5.824796412223395,5.718226336881571e-09,-0.5636899753764573,0.5729651409309098
study_results/study_keefe/input_csv/keefe_scores_chunk_0.csv,A high school senior passionate about social work and considering a career in nursing,16,6.865237158920452,6.638023464233811e-12,5.792543852839131,6.9328216500963435e-09,-1.0726933060813213,0.2834087447538718
study_results/study_keefe/input_csv/keefe_scores_chunk_0.csv,A high school student who is an eSports competitor and considers retro games antiquated,16,5.818943993249217,5.922057066953812e-09,5.417637510956168,6.039169875293737e-08,-0.4013064822930488,0.6881944916140004
study_results/study_keefe/input_csv/keefe_scores_chunk_0.csv,A high school student inspired by the journalist's articles who starts a voter education club at their school,16,4.871009810766443,1.1102932611084526e-06,4.48132902590513,7.417964656752929e-06,-0.3896807848613133,0.6967726069656592
study_results/study_keefe/input_csv/keefe_scores_chunk_0.csv,A high school student who is struggling with his history studies,16,5.378210808188899,7.522970024709252e-08,4.201727193897573,2.6488622659304184e-05,-1.176483614291327,0.23940167644326427
study_results/study_keefe/input_csv/keefe_scores_chunk_0.csv,A curious high schooler passionate about marine life and interested in learning about seagrass conservation,16,7.1119905702161335,1.1437517599688363e-12,4.811052444557976,1.5013761174298423e-06,-2.3009381256581563,0.021395128707187405
study_results/study_keefe/input_csv/keefe_scores_chunk_1.csv,An ambitious high school student with diverse interests developing strong leadership skills by actively participating in different clubs and societies,16,5.728968490247183,1.010431605052986e-08,4.938765939868263,7.861850763735134e-07,-0.7902025503789194,0.42940948683935076
study_results/study_keefe/input_csv/keefe_scores_chunk_1.csv,A high school student who is passionate about paleontology and looks up to scientists like Hou Xian-guang,16,6.105500286849665,1.0247918069694606e-09,4.006734563245087,6.156398335588342e-05,-2.098765723604581,0.03583755776148556
study_results/study_keefe/input_csv/keefe_scores_chunk_1.csv,A high school student fascinated by how equations and theories apply to real-life constructions,16,4.58269479389803,4.590217713928979e-06,4.216079210386185,2.4858647544201418e-05,-0.36661558351184464,0.7139057824790702
study_results/study_keefe/input_csv/keefe_scores_chunk_1.csv,A high school student on the baseball team who is keen on learning the sport's history and tactics,16,7.1316923197849915,9.914291609902648e-13,5.2978285804116965,1.1718790138282031e-07,-1.8338637393732957,0.06667422330860084
study_results/study_keefe/input_csv/keefe_scores_chunk_1.csv,A curious high school student who assists in conducting and documenting their visual experiments,16,5.233584375997,1.6625406074055604e-07,4.070565625775442,4.689912664646023e-05,-1.1630187502215588,0.24482189504253382
study_results/study_keefe/input_csv/keefe_scores_chunk_1.csv,A high school senior organizing a student-led political action group at their school,16,6.241779387177323,4.3262082805028967e-10,5.637736220676298,1.7230016302605122e-08,-0.6040431665010245,0.5458149434560522
study_results/study_keefe/input_csv/keefe_scores_chunk_1.csv,A high schooler seeking guidance on how to improve their research skills for academic success,16,5.40032753845213,6.651933293078116e-08,3.9105820106032634,9.207399064026234e-05,-1.489745527848866,0.13629115872757902
study_results/study_keefe/input_csv/keefe_scores_chunk_1.csv,A high school student with a keen interest in community service looking to learn from the teacher's experiences,16,5.700899134746143,1.19177141488791e-08,5.700899134746143,1.19177141488791e-08,0.0,1.0
study_results/study_keefe/input_csv/keefe_scores_chunk_1.csv,A high school student learning Python for their science fair project on artificial intelligence,16,8.130171721137925,4.440892098500626e-16,6.097628790853435,1.076533751032116e-09,-2.03254293028449,0.04209872230428502
study_results/study_keefe/input_csv/keefe_scores_chunk_1.csv,A high school student interested in computer science seeking advice on preparing for coding competitions,16,6.7626478856124566,1.354916179252541e-11,5.533075542773833,3.146638660744827e-08,-1.2295723428386225,0.21885729210841154
study_results/study_keefe/input_csv/keefe_scores_chunk_2.csv,A curious elementary school student who eagerly awaits the next story on their daily bus ride,8,6.231177910025786,4.629410188528027e-10,5.815766049357401,6.0356832864982835e-09,-0.4154118606683855,0.6778404255087032
study_results/study_keefe/input_csv/keefe_scores_chunk_2.csv,An imaginative elementary school student with a pet iguana and a love for adventure stories,8,5.93020235533491,3.0256157579344745e-09,4.907753673380612,9.212545801773331e-07,-1.022448681954299,0.3065685895242931
study_results/study_keefe/input_csv/keefe_scores_chunk_2.csv,A curious elementary school student who has just learned about millipedes in science class and is fascinated by all kinds of bugs.,8,7.452647694352028,9.14823772291129e-14,6.549296458672994,5.780886880302205e-11,-0.9033512356790343,0.36633951206656956
study_results/study_keefe/input_csv/keefe_scores_chunk_2.csv,An elementary school student working on a community recycling project for a school fair,8,5.257277497424857,1.4620361876716004e-07,4.673135553266537,2.966358445766204e-06,-0.5841419441583203,0.5591248171308045
study_results/study_keefe/input_csv/keefe_scores_chunk_2.csv,An eager 7-year old boy who enjoys reading more than playing video games,7,5.951858711495784,2.6511419726205077e-09,5.183876942270515,2.173203501598664e-07,-0.7679817692252697,0.4424980159197527
study_results/study_keefe/input_csv/keefe_scores_chunk_2.csv,A curious elementary school student who looks forward to meeting the author and asking questions about their books,8,6.141270326874623,8.18641376909568e-10,6.550688348666263,5.7272409037523175e-11,0.40941802179164094,0.6822329163277852
study_results/study_keefe/input_csv/keefe_scores_chunk_2.csv,A curious elementary school student in need of help with math and science homework,8,5.7707754602255665,7.890756048567482e-09,4.424261186172936,9.67728859491146e-06,-1.3465142740526301,0.17813672013457715
study_results/study_keefe/input_csv/keefe_scores_chunk_2.csv,A 3rd grade biology enthusiast,8,7.5961423122828275,3.042011087472929e-14,5.808814709392748,6.291667187241501e-09,-1.787327602890079,0.07388455521847459
